Name,Price,Location,Year,Condition,Km,Origin,Style,Manufacture,Color,Seat,Window
Mercedes Benz C class C200 Exclusive - 2021,1118,Hà Nội,2021.0,Xe đã dùng,38000.0,Lắp ráp trong nước,Sedan,Xăng,Xanh,5.0,4.0
Nissan Terra E 2.5 AT 2WD - 2019,646,TP HCM,2019.0,Xe đã dùng,68000.0,Nhập khẩu,SUV,Xăng,Vàng,7.0,5.0
Mercedes Benz GLC 300 4Matic - 2021,1759,Hà Nội,2021.0,Xe đã dùng,40000.0,Lắp ráp trong nước,SUV,Xăng,Đen,5.0,5.0
Hyundai SantaFe 2.4L 4WD - 2016,664,Hà Nội,2016.0,Xe đã dùng,80000.0,Lắp ráp trong nước,SUV,Xăng,Bạc,7.0,5.0
Kia Carnival Luxury 2.2D - 2022,1099,Hà Nội,2022.0,Xe đã dùng,32000.0,Lắp ráp trong nước,Van/Minivan,Dầu,Xanh,8.0,5.0
Hyundai Accent 1.4 AT Đặc Biệt - 2023,499,Hà Nội,2023.0,Xe đã dùng,9000.0,Lắp ráp trong nước,Sedan,Xăng,Trắng,5.0,4.0
Nissan X trail 2.5 SV 4WD - 2016,499,Hà Nội,2016.0,Xe đã dùng,140000.0,Lắp ráp trong nước,SUV,Xăng,Xanh,7.0,5.0
Mercedes Benz S class S450L Luxury - 2017,2190,Hà Nội,2017.0,Xe đã dùng,61000.0,Lắp ráp trong nước,Sedan,Xăng,Trắng,5.0,4.0
Toyota Vios E CVT - 2022,450,TP HCM,2022.0,Xe đã dùng,7552.0,Lắp ráp trong nước,Sedan,Xăng,Đen,5.0,4.0
Toyota Raize G 1.0 CVT - 2023,525,TP HCM,2023.0,Xe đã dùng,7800.0,Nhập khẩu,SUV,Xăng,Trắng,5.0,5.0
Toyota Corolla Cross 1.8HV - 2020,775,Hà Nội,2020.0,Xe đã dùng,26000.0,Nhập khẩu,SUV,Hybrid,Trắng,5.0,5.0
Suzuki Swift GLX 1.2 AT - 2022,515,Hà Nội,2022.0,Xe đã dùng,9000.0,Nhập khẩu,Hatchback,Xăng,Đỏ,5.0,5.0
Toyota Veloz Cross 1.5 CVT - 2022,585,Hà Nội,2022.0,Xe đã dùng,41000.0,Nhập khẩu,SUV,Xăng,Trắng,7.0,5.0
Hyundai i10 Grand 1.0 MT Base - 2016,163,Hà Nội,2016.0,Xe đã dùng,120000.0,Nhập khẩu,Hatchback,Xăng,Bạc,5.0,5.0
Rolls Royce Phantom 6.7 V12 - 2013,15000,Hà Nội,2013.0,Xe đã dùng,12000.0,Nhập khẩu,Sedan,Xăng,Đen,4.0,4.0
Toyota Camry 2.5Q - 2014,560,TP HCM,2014.0,Xe đã dùng,150000.0,Lắp ráp trong nước,Sedan,Xăng,Cát,5.0,4.0
Mercedes Benz GLC 300 4Matic - 2017,1068,Hà Nội,2017.0,Xe đã dùng,50000.0,Lắp ráp trong nước,SUV,Xăng,Đen,5.0,5.0
Mercedes Benz C class C200 - 2018,819,Hà Nội,2018.0,Xe đã dùng,47000.0,Lắp ráp trong nước,Sedan,Xăng,Trắng,5.0,4.0
LandRover Range Rover Velar R-Dynamic 3.0 - 2017,2790,Hà Nội,2017.0,Xe đã dùng,39000.0,Nhập khẩu,SUV,Xăng,Xám,5.0,5.0
Mercedes Benz GLS 450 4Matic - 2021,4899,Hà Nội,2021.0,Xe đã dùng,40000.0,Nhập khẩu,SUV,Xăng,Đen,7.0,5.0
Toyota Alphard Luxury Executive Lounge - 2021,3550,Hà Nội,2021.0,Xe đã dùng,40000.0,Nhập khẩu,Van/Minivan,Xăng,Đen,7.0,5.0
