Name,Condition,Price,Location,Car_code,Year,Condition,Km,Origin,Style,Manufacture,Color,Seat,Window
Mercedes Benz C class C200 Exclusive - 2021, Xe cũ,1 Tỷ 118 Triệu,Hà Nội,Mã: 5807498,2021.0,Xe đã dùng,"38,000 Km",Lắp ráp trong nước,Sedan,Xăng,Xanh,5 chỗ,4 cửa
Nissan Terra E 2.5 AT 2WD - 2019, Xe cũ,646 Triệu,TP HCM,Mã: 5727052,2019.0,Xe đã dùng,"68,000 Km",Nhập khẩu,SUV,Xăng,Vàng,7 chỗ,5 cửa
Mercedes Benz GLC 300 4Matic - 2021, Xe cũ,1 Tỷ 759 Triệu,Hà Nội,Mã: 5814403,2021.0,Xe đã dùng,"40,000 Km",Lắp ráp trong nước,SUV,Xăng,Đen,5 chỗ,5 cửa
Hyundai SantaFe 2.4L 4WD - 2016, Xe cũ,664 Triệu,Hà Nội,Mã: 5817685,2016.0,Xe đã dùng,"80,000 Km",Lắp ráp trong nước,SUV,Xăng,Bạc,7 chỗ,5 cửa
Kia Carnival Luxury 2.2D - 2022, Xe cũ,1 Tỷ 99 Triệu,Hà Nội,Mã: 5727163,2022.0,Xe đã dùng,"32,000 Km",Lắp ráp trong nước,Van/Minivan,Dầu,Xanh,8 chỗ,5 cửa
Hyundai Accent 1.4 AT Đặc Biệt - 2023, Xe cũ,499 Triệu,Hà Nội,Mã: 5812946,2023.0,Xe đã dùng,"9,000 Km",Lắp ráp trong nước,Sedan,Xăng,Trắng,5 chỗ,4 cửa
Nissan X trail 2.5 SV 4WD - 2016, Xe cũ,499 Triệu,Hà Nội,Mã: 5800996,2016.0,Xe đã dùng,"140,000 Km",Lắp ráp trong nước,SUV,Xăng,Xanh,7 chỗ,5 cửa
Mercedes Benz S class S450L Luxury - 2017, Xe cũ,2 Tỷ 190 Triệu,Hà Nội,Mã: 5809635,2017.0,Xe đã dùng,"61,000 Km",Lắp ráp trong nước,Sedan,Xăng,Trắng,5 chỗ,4 cửa
Toyota Vios E CVT - 2022, Xe cũ,450 Triệu,TP HCM,Mã: 5811241,2022.0,Xe đã dùng,"7,552 Km",Lắp ráp trong nước,Sedan,Xăng,Đen,5 chỗ,4 cửa
Toyota Raize G 1.0 CVT - 2023, Xe cũ,525 Triệu,TP HCM,Mã: 5697588,2023.0,Xe đã dùng,"7,800 Km",Nhập khẩu,SUV,Xăng,Trắng,5 chỗ,5 cửa
Toyota Corolla Cross 1.8HV - 2020, Xe cũ,775 Triệu,Hà Nội,Mã: 5818243,2020.0,Xe đã dùng,"26,000 Km",Nhập khẩu,SUV,Hybrid,Trắng,5 chỗ,5 cửa
Suzuki Swift GLX 1.2 AT - 2022, Xe cũ,515 Triệu,Hà Nội,Mã: 5806967,2022.0,Xe đã dùng,"9,000 Km",Nhập khẩu,Hatchback,Xăng,Đỏ,5 chỗ,5 cửa
Toyota Veloz Cross 1.5 CVT - 2022, Xe cũ,585 Triệu,Hà Nội,Mã: 5821031,2022.0,Xe đã dùng,"41,000 Km",Nhập khẩu,SUV,Xăng,Trắng,7 chỗ,5 cửa
Hyundai i10 Grand 1.0 MT Base - 2016, Xe cũ,163 Triệu,Hà Nội,Mã: 5764678,2016.0,Xe đã dùng,"120,000 Km",Nhập khẩu,Hatchback,Xăng,Bạc,5 chỗ,5 cửa
Rolls Royce Phantom 6.7 V12 - 2013, Xe cũ,15 Tỷ ,Hà Nội,Mã: 5780088,2013.0,Xe đã dùng,"12,000 Km",Nhập khẩu,Sedan,Xăng,Đen,4 chỗ,4 cửa
Toyota Camry 2.5Q - 2014, Xe cũ,560 Triệu,TP HCM,Mã: 5810580,2014.0,Xe đã dùng,"150,000 Km",Lắp ráp trong nước,Sedan,Xăng,Cát,5 chỗ,4 cửa
Mercedes Benz GLC 300 4Matic - 2017, Xe cũ,1 Tỷ 68 Triệu,Hà Nội,Mã: 5763479,2017.0,Xe đã dùng,"50,000 Km",Lắp ráp trong nước,SUV,Xăng,Đen,5 chỗ,5 cửa
Mercedes Benz C class C200 - 2018, Xe cũ,819 Triệu,Hà Nội,Mã: 5767358,2018.0,Xe đã dùng,"47,000 Km",Lắp ráp trong nước,Sedan,Xăng,Trắng,5 chỗ,4 cửa
LandRover Range Rover Velar R-Dynamic 3.0 - 2017, Xe cũ,2 Tỷ 790 Triệu,Hà Nội,Mã: 5764213,2017.0,Xe đã dùng,"39,000 Km",Nhập khẩu,SUV,Xăng,Xám,5 chỗ,5 cửa
Mercedes Benz GLS 450 4Matic - 2021, Xe cũ,4 Tỷ 899 Triệu,Hà Nội,Mã: 5756955,2021.0,Xe đã dùng,"40,000 Km",Nhập khẩu,SUV,Xăng,Đen,7 chỗ,5 cửa
Toyota Alphard Luxury Executive Lounge - 2021, Xe cũ,3 Tỷ 550 Triệu,Hà Nội,Mã: 5765689,2021.0,Xe đã dùng,"40,000 Km",Nhập khẩu,Van/Minivan,Xăng,Đen,7 chỗ,5 cửa
Lexus RX 350 - 2017, Xe cũ,2 Tỷ 630 Triệu,Hà Nội,Mã: 5794203,2017.0,Xe đã dùng,"83,000 Km",Nhập khẩu,SUV,Xăng,Trắng,5 chỗ,5 cửa
Toyota Land Cruiser VX 4.6 V8 - 2017, Xe cũ,3 Tỷ 395 Triệu,Hà Nội,Mã: 5684804,2017.0,Xe đã dùng,"96,000 Km",Nhập khẩu,SUV,Xăng,Đen,8 chỗ,5 cửa
Mercedes Benz S class S450L Luxury - 2020, Xe cũ,2 Tỷ 899 Triệu,Hà Nội,Mã: 5723256,2020.0,Xe đã dùng,"55,000 Km",Lắp ráp trong nước,Sedan,Xăng,Trắng,5 chỗ,4 cửa
Lexus LM 350 - 2022, Xe cũ,6 Tỷ 900 Triệu,Hà Nội,Mã: 5809381,2022.0,Xe đã dùng,"13,000 Km",Nhập khẩu,Van/Minivan,Xăng,Đen,4 chỗ,5 cửa
Mercedes Benz E class E200 Sport - 2019, Xe cũ,1 Tỷ 289 Triệu,Hà Nội,Mã: 5813589,2019.0,Xe đã dùng,"69,000 Km",Lắp ráp trong nước,Sedan,Xăng,Đỏ,5 chỗ,4 cửa
Mercedes Benz E class E250 - 2017, Xe cũ,1 Tỷ 89 Triệu,Hà Nội,Mã: 5684481,2017.0,Xe đã dùng,"67,000 Km",Lắp ráp trong nước,Sedan,Xăng,Trắng,5 chỗ,4 cửa
